Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Telegram,Широта,Долгота,2GIS URL,Тип
На Алматинке,коворкинг-центр,Коворкинг,"улица Навои, 70",1 этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.5,42,87013555650,87770645171,,,,,,https://instagram.com/coworking_na_almatinke,,,https://wa.me/77770645171,https://wa.me/77013555650,,,43.216745,76.884158,https://2gis.com/firm/70000001063509180,branch
Mantis Creative Spaсe,,Коворкинг,"улица Ауэзова, 5",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00,+05:00,4.9,20,87009004717,87016906692,,info@mantis.kz,mantis.creative.space22@gmail.com,http://www.mantis.kz,,https://instagram.com/mantis_space_kz,,,https://wa.me/77016906692,https://wa.me/77009004717,,,43.252472,76.901907,https://2gis.com/firm/70000001067454454,branch
Login Coworking space,​коворкинг-центр,Коворкинг,"микрорайон Жетысу-2, 11/1",1 этаж,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,25,87075447540,,,logincoworking7@gmail.com,,http://loginkz.kz,,https://instagram.com/logincoworkingspace,,,https://wa.me/77075447540,,,https://t.me/+77075447540,43.225968,76.843799,https://2gis.com/firm/70000001085332809,branch
SmArt.Point,коворкинг-центр,Коворкинг; Конференц-залы / Переговорные комнаты,"улица Байзакова, 280","1, 2 этаж",050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,432,87782002050 (ресепшн),87770788778 (отдел аренды сервисного офиса ),"87717185715 (отдел аренды конференц-зала
)",hello@smartpoint.me,smm@smartpoint.me,http://smartpoint.me,http://smartpointme.taplink.ws/?fbclid=PAAaaSz1iL1UyYI3BCZT0WFPBq-FXKrZC-A0aWF2UMwg0QDnzvmJ8GxUir-Rg,https://instagram.com/smartpoint.me,https://facebook.com/smartpointme,,https://wa.me/77782002050,https://wa.me/77770788778,https://wa.me/77717185715,,43.236866,76.91497,https://2gis.com/firm/70000001029135976,branch
Coworking Office,,Коворкинг; Конференц-залы / Переговорные комнаты,"проспект Сейфуллина, 617","03-30, 03-31 офис; 4 этаж",050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,4.1,33,87009737907,,,,,,,https://instagram.com/office.coworking,,,https://wa.me/77009737907,,,,43.233674,76.936104,https://2gis.com/firm/70000001065042716,branch
Street Hub,коворкинг-центр,Коворкинг; Аренда помещений; Конференц-залы / Переговорные комнаты,"улица Курмангазы, 107/2",3 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.6,21,87076869999,,,info@streethub.kz,,http://cow.almati.tilda.ws,,https://instagram.com/streethubkz,,,https://wa.me/77076869999,,,https://t.me/+77076869999,43.243683,76.928569,https://2gis.com/firm/70000001066681100,branch
Most IT Hub,компания,Коворкинг,"улица Ходжанова, 2/2",1 этаж; ресепшн справа от входа,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.7,49,87055353222,87055353111,,,,http://mosthub.space/,,https://instagram.com/mosthub_almaty,https://facebook.com/mosthubalmaty,,https://wa.me/77055353222,https://wa.me/77055353111,,,43.210343,76.908023,https://2gis.com/firm/70000001065981797,branch
Fifty Four,центр,Коворкинг; Аренда помещений; Конференц-залы / Переговорные комнаты; Бизнес-центры,"улица Маметовой, 54",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 06:00-24:00; Вт: 06:00-24:00; Ср: 06:00-24:00; Чт: 06:00-24:00; Пт: 06:00-24:00; Сб: 06:00-24:00; Вс: 06:00-24:00 (менеджер: 8:00-20:00),+05:00,4.0,111,87013007262,87013007261,87013480599,,,http://fiftyfour.kz,,https://instagram.com/fiftyfour.kz,,,https://wa.me/77013007262,,,,43.266526,76.935716,https://2gis.com/firm/70000001053140541,branch
Sail Coworking,коворкинг-центр,Коворкинг; Аренда помещений,"проспект Гагарина, 124",4 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-вс 9:00-20:00 ),+05:00,4.2,138,87775041481,,,,,,,https://instagram.com/sail.coworking,,,https://wa.me/77775041481,,,https://t.me/+77775041481,43.238131,76.896306,https://2gis.com/firm/70000001046701982,branch
Alatau creative hub,коворкинг-центр,Коворкинг; Библиотеки,"микрорайон Нуркент, 5/11",1 этаж,050038,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (санитарный день: последний чт месяца),+05:00,3.8,308,87273853656,,,,,http://almatylibrary.kz,,https://instagram.com/alataucreative.hub,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,,,43.261071,76.817406,https://2gis.com/firm/70000001047455043,branch
