Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
БАНЗАЙ Fitness,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы; Велнес-залы; Центры йоги,"улица Толе би, 187 к2",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 06:00-23:30; Вс: 11:00-21:00,+05:00,4.8,512,87078000368,,,banzai4info@gmail.com,http://banzai.kz,,https://instagram.com/banzai4me,,https://facebook.com/banzai4me,https://vk.com/banzai4me,https://wa.me/77078000368,,,,https://t.me/banzai4me,,https://youtube.com/banzai4me,43.252504,76.899159,https://2gis.com/firm/9429940000785937,branch
Adrenaline,фитнес-центр,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивное питание,"Касымова улица, 32",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 07:00-22:00; Вс: 09:00-21:00,+05:00,4.1,241,87714473737 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),87273132625 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),,sales@adrenaline.kz,http://www.adrenaline.kz,,https://instagram.com/adrenaline_kz,,https://facebook.com/Adrenaline-Kz-529339027243967,,https://wa.me/77714473737,,,,,,https://youtube.com/UC0A-skQmAzJUO509Vt3cl1A,43.226104,76.930079,https://2gis.com/firm/70000001045720859,branch
YA.,фитнес-студия,Фитнес-клубы; Центры йоги; Обучение танцам; Спортивные секции,"улица Навои, 200 блок 1",,050042,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,5.0,89,87000308613 (служба поддержки действующих клиентов ),87000227305 (отдел продаж ),,ya.fitalmaty@gmail.com,http://yafitness.kz,,https://instagram.com/ya.fitstudio,,,,,,,,,,,43.211466,76.884285,https://2gis.com/firm/70000001081797069,branch
Budokan Sports & Arts,центр спорта и искусств,Фитнес-клубы; Бассейны; Тренажёрные залы; Центры йоги; Спортивные секции,"улица Сагадат Нурмагамбетов, 150",,050007,Кок-Тобе м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.5,142,87082187818 (менеджер отдела продаж),87713239587 (менеджер отдела продаж),87026691131 (менеджер отдела продаж),info@budokan.kz,,,https://instagram.com/budokan_hta,,,,https://wa.me/77470953333,https://wa.me/77017114343,,,,,,43.263556,76.982631,https://2gis.com/firm/70000001051268778,branch
WORKOUT ,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы; Обучение танцам,"проспект Сейфуллина, 617",4 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:30-24:00; Вт: 06:30-24:00; Ср: 06:30-24:00; Чт: 06:30-24:00; Пт: 06:30-24:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи),+05:00,4.4,203,87472101032 (единый номер: пн-пт 7:00-00:00; сб-вс 10:00-22:00),,,,,,https://instagram.com/workoutgym.kz,,,,https://wa.me/77075570917,,,,,,,43.23311,76.935334,https://2gis.com/firm/70000001055194122,branch
MegaGym,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Массажист; Доставка еды; Студии загара,"улица Абиша Кекилбайулы, 38а/1",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 10:00-19:00,+05:00,4.5,205,87085084548,,,megagym.kz@mail.ru,http://megagym.kz,,https://instagram.com/megagym.kz,,,,https://wa.me/77085084548,,,,,,,43.204595,76.891587,https://2gis.com/firm/70000001043879924,branch
Uniflex,спортивно-оздоровительный комплекс,Фитнес-клубы; Бассейны; Тренажёрные залы; Спортивные секции; Обучение танцам; Центры йоги,"микрорайон Жетысу-2, 2а",,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 10:00-21:00,+05:00,4.6,606,87756606679,87273731919,,uniflex-07@mail.ru,http://www.uniflex.kz,,https://instagram.com/uniflex_sport_fitness,,https://facebook.com/uniflex.sport.fitness,,https://wa.me/77756606679,,,,,,,43.22432,76.842064,https://2gis.com/firm/9429940000790843,branch
Nautilus,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Навои, 208/6",цокольный этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 09:00-17:00,+05:00,4.3,30,87017306732,,,info@nautilusgym.kz,http://nautilusgym.kz,,https://instagram.com/nautilus_gym,,,https://vk.com/nautilusgym,,,,,,,,43.205089,76.885266,https://2gis.com/firm/70000001054335927,branch
Alafit,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"микрорайон Орбита-3, 55/2",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:15; Вт: 07:00-21:15; Ср: 07:00-21:15; Чт: 07:00-21:15; Пт: 07:00-21:15,+05:00,5.0,34,87774660606,,,,,,https://instagram.com/alafit.kz,,,,https://wa.me/77774660606,,,,,,,43.198884,76.874726,https://2gis.com/firm/70000001082829060,branch
Rubicon Training,​фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Ауэзова, 163а",209 офис; 2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,7,87089002424,,,inforubicontraining@gmail.com,,,https://instagram.com/rubicontraining.club,,,,https://wa.me/77075727802,,,,,,,43.230994,76.903826,https://2gis.com/firm/70000001088059027,branch
