Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Сенім,частная школа,Частные детские сады; Школы,"улица Зеина Шашкина, 32а",,050040,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.4,152,87472905894,,,senimschool@mail.ru,,,,https://instagram.com/senimschool_almaty,https://facebook.com/senimschool.kz,,https://wa.me/77472905894,,,,,,,,43.222213,76.937692,https://2gis.com/firm/9429940000800292,branch
Sana Urpaq,детский сад,Частные детские сады,"проспект Сейфуллина, 469а/1",вход с ул. Торекулова,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30; Сб: 08:00-18:30; Вс: 08:00-18:30,+05:00,5.0,2,87053094488,,,,,,,https://instagram.com/sana.urpaq,,,https://wa.me/77053094488,,,,,https://t.me/sanaurpaq,,,43.266163,76.929736,https://2gis.com/firm/70000001089584375,branch
SULTAN-BEIBARYS,частный детский сад,Частные детские сады,"микрорайон Хан-Тенгри, 89",1 этаж,050043,Хан-Тенгри м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-12:00, 15:00-18:00; Вт: 08:00-12:00, 15:00-18:00; Ср: 08:00-12:00, 15:00-18:00; Чт: 08:00-12:00, 15:00-18:00; Пт: 08:00-12:00, 15:00-18:00",+05:00,5.0,48,87003030765,87272268355,,sultanbeibarys.sun@gmail.com,,http://sultan-beibarys.2gis.biz/,,https://instagram.com/sultanbeibarys.sun,,,https://wa.me/77003030765,,,,,,,,43.16794,76.892051,https://2gis.com/firm/70000001035006809,branch
Uniflexkids,частный детский сад,Частные детские сады,"микрорайон Жетысу-2, 2а",,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.5,28,87787888837,87774973432,,,,,,https://instagram.com/uniflex_kids,,,https://wa.me/77774973432,https://wa.me/77787888837,,,,,,,43.22432,76.842064,https://2gis.com/firm/70000001060407886,branch
Dayir-Almaty,частный детский сад,Частные детские сады,"микрорайон Хан-Тенгри, 84",,050043,Хан-Тенгри м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,5.0,33,87756898255,87019404482,,ms.zariwka@mail.ru,,,,https://instagram.com/detsad_dayir_almaty,,,https://wa.me/77756898255,,,,,,,,43.169071,76.891877,https://2gis.com/firm/70000001053739531,branch
Da Vinci kids,частный детский сад,Частные детские сады; Центры раннего развития детей,"улица Кашгарская, 85",1 этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.0,35,87012663777,87017242924,,mail@davincikids.kz,,,,https://instagram.com/davincikids.almaty,,,https://wa.me/77012663777,https://wa.me/77017242924,,,,,,https://youtube.com/channel/UCecprOkI8Z9KC3t-7msXl3Q,43.239769,76.92902,https://2gis.com/firm/70000001028329502,branch
Сәби,частный детский сад,Частные детские сады; Центры раннего развития детей,"улица Козыбаева, 26",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:30-18:30; Вт: 07:30-18:30; Ср: 07:30-18:30; Чт: 07:30-18:30; Пт: 07:30-18:30,+05:00,4.9,65,87025581666,,,erzh84@mail.ru,kittifox93@bk.ru,http://sabi-english.kz,,https://instagram.com/sadik_sabi_almaty,,,https://wa.me/77025581666,,,,,,,,43.21192,76.913618,https://2gis.com/firm/70000001078803089,branch
Fastrackids,частный детский сад,Частные детские сады,"улица Молодёжная, 4",1 этаж,050023,Баганашыл м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.9,22,87772548686,,,fastrackids.baganashyl@mail.ru,,http://baganashyl.fastrackids.kz,,https://instagram.com/fastrackids_baganashyl_almaty,,,https://wa.me/77772548686,,,,,,,,43.195601,76.912348,https://2gis.com/firm/70000001032965423,branch
Lion Garden 2,частный детский сад,Частные детские сады,"улица Домбыра, 28",,050010,Кок-Тобе м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,9,87054033373,,,,,,,https://instagram.com/lion_garden2,,,https://wa.me/77054033373,,,,,,,,43.245904,76.969465,https://2gis.com/firm/70000001079596931,branch
Zeine Kids,частный детский сад,Частные детские сады,"улица Сарыарка, 1/3",,050019,Кайрат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.3,63,87013007974,87015195166,,,,,,https://instagram.com/zeine.sadik,,,https://wa.me/77013007974,https://wa.me/77015195166,,,,,,,43.296642,76.976785,https://2gis.com/firm/70000001062881374,branch
