Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp,YouTube,Широта,Долгота,2GIS URL,Тип
Национальная библиотека Республики Казахстан,,Библиотеки; Интересные здания,"проспект Абая, 14",,050021,,Бостандыкский район,Алматы,,Алматы,Казахстан,Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (санитарный день: каждая последняя пт месяца ),+05:00,4.3,700,87272672849 (регистратура: пн-вс 9:00-20:00),87272672883,,http://www.nlrk.kz,,https://instagram.com/ulttyq_kitapkhana,https://facebook.com/nlrk.kz,https://vk.com/kitapkhana1931,,,43.241402,76.94314,https://2gis.com/firm/9429940000798488,branch
Казахский национальный педагогический университет им. Абая,библиотека,Библиотеки,"улица Толе би, 86",2 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-16:00,+05:00,3.7,57,87272218514,,,http://abaiuniversity.edu.kz,,,,,,,43.253331,76.934757,https://2gis.com/firm/9429940000793646,branch
Alatau creative hub,коворкинг-центр,Библиотеки; Коворкинг,"микрорайон Нуркент, 5/11",1 этаж,050038,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (санитарный день: последний чт месяца),+05:00,3.8,308,87273853656,,,http://almatylibrary.kz,,https://instagram.com/alataucreative.hub,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.261071,76.817406,https://2gis.com/firm/70000001047455043,branch
Республиканская библиотека для незрячих и слабовидящих граждан,,Библиотеки,"Богенбай батыра улица, 214",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:30; Вт: 08:30-17:30; Ср: 08:30-17:30; Чт: 08:30-17:30; Пт: 08:30-17:30 (по предварительному звонку),+05:00,3.5,12,87273998988 (справочная),87272937125,87078216301,http://www.blindlib.kz,,https://instagram.com/znkaark,,,,,43.250952,76.918203,https://2gis.com/firm/9429940000799757,branch
Казахский национальный университет им. аль-Фараби,библиотека,Библиотеки,"проспект Аль-Фараби, 71/27",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00,+05:00,3.8,24,87273773333 (единая справочная: пн-вс 9:00-19.00),87273773330 (единая справочная: пн-вс 9:00-19.00),,http://elibrary.kaznu.kz,,,https://facebook.com/kazakhnationaluniversity,,,https://youtube.com/channel/UCr6RCYKPPbHFKwOmqZXBi2w,43.222142,76.923419,https://2gis.com/firm/9429940001276183,branch
Городская юношеская библиотека им. Жамбыла,,Библиотеки,"проспект Назарбаева, 43",1 этаж,050016,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (санитарный день: последний чт месяца),+05:00,3.6,464,87272711424,,,http://almatylibrary.kz,,https://instagram.com/jambyl_kitaphanasy,https://facebook.com/100015981799170,https://vk.com/almaty_library,,,43.2688,76.944651,https://2gis.com/firm/9429940000794584,branch
Библиотеки Алматы,массовая библиотека №4,Библиотеки,"проспект Абая, 141",1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (санитарный день: последний чт месяца),+05:00,4.2,206,87273758154,,,http://almatylibrary.kz,,https://instagram.com/okj_4_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.23962,76.897326,https://2gis.com/firm/9429940000821386,branch
Библиотека им. Аль-Фараби,,Библиотеки; Книги; Учебная литература,"проспект Аль-Фараби, 71/27",2 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 19:00-13:00,+05:00,4.2,81,87273773333 (доп.3342),,,http://elibrary.kaznu.kz,,https://instagram.com/kaznu.elibrary,,,,https://youtube.com/channel/UCaOIOE_On0Q6Z-D1nhI__7g,43.222096,76.923904,https://2gis.com/firm/70000001035164324,branch
Goethe-Institut Kasachstan,культурно-образовательный центр,Библиотеки; Языковые школы; Помощь в обучении,"улица Наурызбай батыра, 31",5 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:30; Вт: 09:00-17:30; Ср: 09:00-17:30; Чт: 09:00-17:30; Пт: 09:00-17:30,+05:00,3.8,60,,,,http://www.goethe.de/kaz,,https://instagram.com/goetheinstitut_kasachstan,https://facebook.com/goethekasachstan,,,,43.260187,76.935073,https://2gis.com/firm/9429940001045466,branch
Центральная городская библиотека им. А.П. Чехова,администрация,Библиотеки,"улица Гоголя, 109",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00 (санитарный день: последний чт месяца),+05:00,4.1,48,87272794223,,,http://almatylibrary.kz,,https://instagram.com/chekhov_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.25965,76.938057,https://2gis.com/firm/9429940000818945,branch
