Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,YouTube,Широта,Долгота,2GIS URL,Тип
Центральный Государственный музей РК,,Музеи,"микрорайон Самал-1, 44",1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.3,471,87272642680,87272645577 (экскурсионный отдел),,http://csmrk.kz/index.php/about-muz-menu/mnu-contact,https://instagram.com/central_state_museum_of_kz,https://facebook.com/tsentralnyygosudarstvenny.muzeyrk,https://vk.com/central.state.museum,,,,43.236298,76.950636,https://2gis.com/firm/9429940000802129,branch
Государственный музей искусств им. А. Кастеева,,Музеи; Интересные здания,"Коктем-3 микрорайон, 22/1",,050040,Коктем-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (санитарный день: последний день месяца),+05:00,4.4,519,87273945715,,,http://www.gmirk.kz,https://instagram.com/kasteyev_museum,https://facebook.com/gmi.rk,,,,,43.235884,76.919414,https://2gis.com/firm/9429940000798271,branch
Музей Алматы,,Музеи; Интересные здания,"улица Кабанбай батыра, 132",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.5,108,87272724321,87272675905,,http://almatymuseum.kz,https://instagram.com/almatymuseums,https://facebook.com/MuseumAlmaty,,,,,43.248792,76.936076,https://2gis.com/firm/9429940000798272,branch
Lumiere-Hall,мультимедийный музей,Музеи; Художественные выставки; Организация театральных / концертных мероприятий; Лектории,"проспект Аль-Фараби, 13 к2в",напротив ЧФ Фонд Нурсултана Назарбаева,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,3.8,212,87075302020,,,http://lumierehall.kz,https://instagram.com/lum_kz,,,,,,43.232064,76.945368,https://2gis.com/firm/70000001066687461,branch
Музей Д.А. Кунаева,,Музеи,"улица Тулебаева, 117",1-2 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (санитарный день: пн),+05:00,4.7,145,87272614269,87272724863,87272721102,,https://instagram.com/museumkunaev,,,,,,43.252817,76.94839,https://2gis.com/firm/9429940000795083,branch
Музей народных музыкальных инструментов им. Ыхласа,,Музеи,"улица Зенкова, 24а",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.7,121,87272916917 (ресепшн),87272484071 (научный отдел),,http://almatymuseums.kz/yhlasa/,https://instagram.com/ykhlas_museum,https://facebook.com/kazmuzmuseum,,,,,43.259661,76.956812,https://2gis.com/firm/9429940000798274,branch
Дом-музей Ахмета Байтұрсынұлы,,Музеи; Интересные здания,"улица Байтурсынова, 60",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,4.0,52,87272921089,87013296402,,,,,,,,,43.246237,76.926928,https://2gis.com/firm/9429940000842540,branch
Музей Национального банка Республики Казахстан,,Музеи,"улица Панфилова, 98",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:30-18:30; Вт: 09:00-13:00, 14:30-18:30; Ср: 09:00-13:00, 14:30-18:30; Чт: 09:00-13:00, 14:30-18:30; Пт: 09:00-13:00, 14:30-18:30 (по предварительной записи)",+05:00,3.9,10,87272612570,,,http://www.nationalbank.kz,,,,,,,43.25754,76.944823,https://2gis.com/firm/70000001036602251,branch
Центральный музей железнодорожного транспорта Республики Казахстан,,Музеи,"проспект Назарбаева, 127",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.0,15,87272964949,87272964419,,,,,,,,,43.252019,76.946556,https://2gis.com/firm/9429940001092968,branch
Научно-культурный центр дом М.О. Ауэзова,музей,Музеи; Интересные здания,"улица Тулебаева, 185",,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00 (санитарный день: последний день месяца),+05:00,3.9,17,87272615917,,,,,,,,,,43.243471,76.949582,https://2gis.com/firm/9429940000798479,branch
