Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Рауза-АДЕ,сеть аптечных складов,Аптеки,"проспект Райымбека, 101",1 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+05:00,2.9,156,87273904259,87273395412,87075013686 (служба доставки: пн-вс 8:00-21:00 ),rauza-ade.almaty@yandex.ru,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.270977,76.947568,https://2gis.com/firm/9429940001096730,branch
Аптека Со склада,,Аптеки,"проспект Райымбека, 150",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.8,71,87273394202,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.269507,76.936494,https://2gis.com/firm/70000001045947479,branch
Аптека Рядом,,Аптеки,"улица Манаса, 59",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,44,87471937828,,,emirmed@mail.ru,,http://emirmed.kz,,,,,https://wa.me/77471937828,,,,,,43.234091,76.909058,https://2gis.com/firm/70000001024623729,branch
Добрая,аптека №12,Аптеки; Средства гигиены; БАДы; Доставка лекарств; Детское питание; Товары для новорождённых,"проспект Гагарина, 205",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.8,116,87279728212,87089728212,,dobraya.apteka.info@gmail.com,,http://dobraya-apteka.kz,,https://instagram.com/dobraya.apteka,https://facebook.com/dobraya.apteka,,https://wa.me/77087416121,,,,,,43.214362,76.897471,https://2gis.com/firm/70000001046315046,branch
Садыхан,аптека №3,Аптеки,"улица Толе би, 201",1 этаж,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.6,131,87273748081,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.251149,76.886734,https://2gis.com/firm/9429940001450688,branch
Центральный Аптечный Дом,сеть аптек,Аптеки; Изготовление лекарств на заказ; Товары для реабилитации; Товары для новорождённых; Спортивное питание; Ортопедические товары; Косметика / Парфюмерия; Контактные линзы; Диетические / соевые продукты,"проспект Суюнбая, 2 к4",,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,217,87052552525 (единая справочная: круглосуточно),,,kazpharmacy@mail.ru,,http://pharmahome.kz,,https://instagram.com/apteka_dom,,,https://wa.me/77052552525,,,,,,43.271557,76.948411,https://2gis.com/firm/70000001047823798,branch
Гаухартас фарм,сеть аптек,Аптеки,"улица Шемякина, 121",,050056,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.1,101,87272900895,,,,,,,https://instagram.com/gauhartaspharm,,,,,,,,,43.298656,76.963692,https://2gis.com/firm/9429940000937978,branch
Ortalyq ,аптека,Аптеки; Доставка лекарств,"улица Аскарова, 11а",,,Рахат (Наурызбайский район) м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,5.0,21,87076307203,,,ortalyqapteka@gmail.com,,http://ortalyqdarihana.kz/,,https://instagram.com/ortalyq.apteka,,,https://wa.me/77076307203,,,,,,43.18621,76.866495,https://2gis.com/firm/70000001088800986,branch
АПТЕКАПЛЮС,,Аптеки; Товары для новорождённых; Косметика / Парфюмерия; Контактные линзы; Ортопедические товары; Товары для реабилитации; Диетические / соевые продукты; Спортивное питание,"проспект Абая, 163",,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-01:00; Вт: 07:00-01:00; Ср: 07:00-01:00; Чт: 07:00-01:00; Пт: 07:00-01:00; Сб: 07:00-01:00; Вс: 07:00-01:00,+05:00,3.8,188,87273109910 (многоканальный),87273103073 (лекарственный отдел ),87273103071 (отдел рецептуры и питания),aptekaplyussmm@yandex.ru,,http://aptekaplus.kz,,https://instagram.com/aptekaplus,,,https://wa.me/77719900103,https://wa.me/77076329233,,,,https://youtube.com/channel/UCYDUd1Vi80-149uLpoldPsg,43.238641,76.885135,https://2gis.com/firm/70000001066432446,branch
Центральная аптека,аптека №2,Аптеки,"проспект Назарбаева, 91/97",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.0,739,87272730707 (справочная),"87272737474 (отдел санитарии и гигиены, матери и ребенка)","87272730101 (отдел изготовления лекарств, БАДов и спортивного питания)",apteka2-3oglf@mail.ru,,http://www.apteka2.kz,,https://instagram.com/apteka2,,,,,,,,,43.259789,76.945828,https://2gis.com/firm/9429940000802105,branch
