Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,Широта,Долгота,2GIS URL,Тип
Достар Мед,поликлиника,Взрослые поликлиники,"улица Байкадамова, 5",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.9,1579,87273440363 (поликлиника ),87003440303 (поликлиника),87089112630 (медицинский центр и платное отделение),http://dostarmed.kz,,https://instagram.com/dostarmed.almaty,,,https://wa.me/77014433444,,43.214273,76.896541,https://2gis.com/firm/9429940000838653,branch
Городская поликлиника №8,,Взрослые поликлиники; Детские поликлиники,"улица Туркебаева, 40",1 этаж,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,2.9,459,87273912831 (горячая линия: пн-пт 8:00-20:00; сб 9:00-14:00),87273741068,87273741069,http://gp8.kz,,https://instagram.com/polik8.almaty,,,,,43.252789,76.878876,https://2gis.com/firm/9429940000794545,branch
Асмед-2,поликлиника,Взрослые поликлиники; Детские поликлиники,"улица Тургут Озала, 103",1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-18:00; Вт: 08:00-13:00, 14:00-18:00; Ср: 08:00-13:00, 14:00-18:00; Чт: 08:00-13:00, 14:00-18:00; Пт: 08:00-13:00, 14:00-17:00; Сб: 09:00-16:00",+05:00,3.3,912,87273906232,87273902922,87273902926,http://asmed.kz,,https://instagram.com/asmed2_medical_center,,,https://wa.me/77478194188,,43.249024,76.880579,https://2gis.com/firm/70000001029007376,branch
Городская поликлиника №16,,Взрослые поликлиники; Детские поликлиники,"12-й микрорайон, 19",,050036,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-15:00; Вс: 09:00-15:00,+05:00,3.7,732,87273032495 (служба поддержки пациента  ),87272220009,,http://www.gp16.kz,,https://instagram.com/almaty_gp16,https://facebook.com/GP16Almaty,,,,43.220474,76.86514,https://2gis.com/firm/9429940000794534,branch
Городская поликлиника №3,,Взрослые поликлиники,"улица Розыбакиева, 74",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00 (дежурный врач: сб 9:00-16:00),+05:00,3.4,738,87273102403 (регистратура и справочная),87273108243 (контакт-центр для жалоб),87273103403 (приемная директора),http://gorp3.kz,,https://instagram.com/gorp_3,https://facebook.com/gorp3,,https://wa.me/77089703356,https://wa.me/77003901518,43.243686,76.889919,https://2gis.com/firm/9429940000843668,branch
Городская поликлиника №6,,Взрослые поликлиники; Детские поликлиники,"4-й микрорайон, 3а",,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00 (регистратура: пн-пт 8:00-18:00),+05:00,1.9,401,87272760909 (регистратура),87272269057 (регистратура),87272760404 (регистратура),http://gp6.kz,,https://instagram.com/gp6almaty,https://facebook.com/gp6.kz,,,,43.228219,76.859039,https://2gis.com/firm/9429940000794544,branch
Городская поликлиника №4,,Взрослые поликлиники; Медицинская диагностика,"улица Торайгырова, 12а",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-15:00,+05:00,2.8,573,87273100004,,,http://4gp.kz,http://jivo.chat/H7UbxAj9W2,,,,,,43.201732,76.876723,https://2gis.com/firm/9429940000794542,branch
Городская поликлиника №17,,Взрослые поликлиники; Детские поликлиники,"улица Басенова, 2",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-18:00,+05:00,4.6,1908,87273910291 (горячая линия: пн-пт 8:00-20:00; сб 8:00-16:00),87273107517,,http://gp17.kz,,https://instagram.com/gp17.kz,,,https://wa.me/77003910291,,43.221576,76.897397,https://2gis.com/firm/9429940000794535,branch
Городская поликлиника №5,,Взрослые поликлиники; Детские поликлиники,"улица Макатаева, 141",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,2.8,475,87273449804 (контакт-центр: пн-пт 8:00-20:00; сб 9:00-16:00),87272333961 (приемная директора),87272536445 (гепатологический центр),,,https://instagram.com/gp5_almaty,,,,,43.262456,76.91521,https://2gis.com/firm/9429940000794543,branch
Городская поликлиника №10,,Взрослые поликлиники; Детские поликлиники,"микрорайон Аксай-4, 17",1 этаж,050063,Аксай-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00; Вс: 09:00-14:00,+05:00,2.8,494,87272220210 (контакт-центр),,,http://gp10almaty.kz,,,https://facebook.com/www.gp10almaty.kz,,,,43.231996,76.835773,https://2gis.com/firm/9429940000794527,branch
КГП на ПХВ Центр ПМСП Медеуского района,,Взрослые поликлиники; Детские поликлиники,"улица Калдаякова, 74",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,3.2,200,87272362448 (служба поддержки пациента и внутреннего аудита),87076232361 (служба поддержки пациента и внутреннего аудита),87787463371 (запись на прием и вызов врача на дом),http://pmsp-medeu.kz,,https://instagram.com/centrepmspmr.kz,https://facebook.com/centrepmspmr.kz,,https://wa.me/77076232361,,43.252272,76.95951,https://2gis.com/firm/9429940000794519,branch
Городская поликлиника №15,,Взрослые поликлиники; Детские поликлиники,"улица Жайдарман, 17 к В",,050063,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,4.1,548,87272208591 (контакт-центр),87272563925 (женская консультация ),,http://gp15.kz,,https://instagram.com/gp15_almaty,https://facebook.com/gp15Almaty,,https://wa.me/77089706237,,43.224619,76.827408,https://2gis.com/firm/9429940001043345,branch
Городская поликлиника №36,,Взрослые поликлиники; Детские поликлиники,"микрорайон Шугыла, 340а",,,Шугыла м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,2.2,737,87273053643 (контакт-центр: пн-пт 8:00-20:00; сб 9:00-16:00),,,http://gp36.kz,,https://instagram.com/almaty_gp36,https://facebook.com/m.facebook.com/Gp36Almaty,https://vk.com/gkpnaphv_gp36,,,43.214429,76.791018,https://2gis.com/firm/70000001028535077,branch
Рахат,поликлиника,Взрослые поликлиники,"Жетысу-3 микрорайон, 2а",,050063,Жетысу-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 09:00-13:00,+05:00,1.0,8,87273767827,87002872070,,,,,,,,,43.218242,76.840874,https://2gis.com/firm/70000001080555970,branch
