Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Nova school,частная школа,Школы; Помощь в обучении,"улица Нурпеисова, 229",,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.5,24,87051758005,,,,,,https://instagram.com/school_nova,,,,https://wa.me/77051758005,,,,,,,43.206355,76.825229,https://2gis.com/firm/70000001062284554,branch
Abyroi School Almaty,частная школа ,Школы,"микрорайон Дарабоз, 85/1",,050058,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,4.2,13,87085000085,,,abyroi.school.edu@gmail.com,,,https://instagram.com/abyroischool_almaty,,,,https://wa.me/77085000085,,,,,,,43.270783,76.821043,https://2gis.com/firm/70000001077910465,branch
Сенім,частная школа,Школы; Частные детские сады,"улица Зеина Шашкина, 32а",,050040,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.4,152,87472905894,,,senimschool@mail.ru,,,https://instagram.com/senimschool_almaty,,https://facebook.com/senimschool.kz,,https://wa.me/77472905894,,,,,,,43.222213,76.937692,https://2gis.com/firm/9429940000800292,branch
AMS Poznai-ka,частная школа,Школы,"улица Тайманова, 169",,050059,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,5.0,6,87772143692,87772698537,,,,http://ams-poznai-ka.kz,https://instagram.com/almaty_montessori_school,,https://facebook.com/ALMATY.MONTESSORI.SCHOOL,,https://wa.me/77772143692,,,,,,,43.210055,76.963691,https://2gis.com/firm/70000001061326156,branch
Prime School,частная школа,Школы,"Сапаргали Бегалина улица, 148/1а",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.7,52,87778530030,,,hello@prime-school.kz,hello.prime.school@gmail.com,http://prime-school.edu.kz,https://instagram.com/almaty.prime,,https://facebook.com/Prime-School-100482132165242,,https://wa.me/77778530030,,,,,,,43.241771,76.965468,https://2gis.com/firm/70000001049969207,branch
Zerdesh мектебі,частная казахская школа,Школы,"улица Жандосова, 200",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30,+05:00,4.7,40,87015370007,87769111111,,shkolazerdesh@mail.ru,,,https://instagram.com/zerdesh.mektebi,,,,https://wa.me/77015370007,https://wa.me/77769111111,,,https://t.me/+77769111111,,,43.206574,76.858649,https://2gis.com/firm/70000001077154194,branch
Квант,школа-лицей,Школы,"улица Жумабаева, 2д",,,,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.6,27,87019827872,87477209010,87017203953,shkola-licei-kvant@mail.ru,,http://kvant.com.kz,https://instagram.com/school_licei_kvant,,,,https://wa.me/77477209010,https://wa.me/77017203953,,,,,,43.470407,77.037577,https://2gis.com/firm/70000001039755580,branch
Арман,частная школа ,Школы,"улица Радостовца, 87",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,4.8,42,87273944053,87273943730,,uvk-arman@yandex.ru,,,https://instagram.com/uvk.arman,,,,https://wa.me/77015295384,,,,,,,43.24134,76.891055,https://2gis.com/firm/9429940000792902,branch
Millennium School,частная школа,Школы,"улица Волочаевская, 357/1",,050019,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,4.7,144,87076990901,87076990902,,,,http://millenniumschool.kz/,https://instagram.com/millenniumschool.kz,,https://facebook.com/Millenniumschoolkz,,https://wa.me/77076990902,,,,,https://youtube.com/channel/UC23TDO9Lf9eWbnN_FFCG8-w,,43.29518,76.971984,https://2gis.com/firm/70000001062414317,branch
Koula,​частная школа,Школы,"улица Утегенова, 19",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,,,87066407888,87064107888,,koula.school@gmail.com,,http://koula.kz,,,,,https://wa.me/77064107888,https://wa.me/77066407888,,,,,,43.178269,76.896526,https://2gis.com/firm/70000001082613075,branch
