Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Театр детей и юношества им. Г. Мусрепова,,Театры,"проспект Абылай хана, 38",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00; Вс: 09:00-13:00, 14:00-18:00 (администрация: пн-пт 9:00-18:00)",+05:00,4.0,217,87272714237 (касса),87272714061 (отдел бухгалтерии),87272713810 (приемная),http://musrepov.kz,https://instagram.com/musrepov_teatry,,,,,,,,43.266101,76.941494,https://2gis.com/firm/9429940000796124,branch
Конкордия,студенческий театр,Театры,"Богенбай батыра улица, 151",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.3,65,87018016800,,,,,,,,https://wa.me/77018016800,,,,43.252326,76.930586,https://2gis.com/firm/9429940001105779,branch
Театр драмы им. Мухтара Ауэзова,,Театры; Интересные здания,"проспект Абая, 103",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-14:00, 15:00-18:00; Вт: 09:00-14:00, 15:00-18:00; Ср: 09:00-14:00, 15:00-18:00; Чт: 09:00-14:00, 15:00-18:00; Пт: 09:00-14:00, 15:00-18:00; Сб: 09:00-14:00, 15:00-18:00; Вс: 09:00-14:00, 15:00-18:00 (касса: вт-вс 10:00-20:00)",+05:00,4.5,273,87273785385 (касса),87273785400 (приемная),87753208524 (касса),http://taplink.cc/auezovtheathe,https://instagram.com/auezovtheatre,,,,,,,,43.24168,76.917884,https://2gis.com/firm/9429940000796125,branch
Казахский Национальный театр оперы и балета им. Абая,,Театры; Интересные здания,"улица Кабанбай батыра, 110",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-14:00, 15:00-18:00; Вт: 10:00-14:00, 15:00-18:00; Ср: 10:00-14:00, 15:00-18:00; Чт: 10:00-14:00, 15:00-18:00; Пт: 10:00-14:00, 15:00-18:00; Сб: 10:00-14:00, 15:00-18:00; Вс: 10:00-14:00, 15:00-18:00",+05:00,4.6,377,87272727934 (касса),87272727963 (администрация),87272728445 (приемная),http://gatob.kz,https://instagram.com/abay.kaz.ntob,https://twitter.com/aksatob,https://facebook.com/ABAY.Kaz.NTOB,https://vk.com/abay.kaz.ntob,https://wa.me/77767404246,,https://t.me/gatob_kz,https://youtube.com/ABAYKazakhNationalTheatreofOperaandBallet,43.248999,76.945665,https://2gis.com/firm/9429940000794587,branch
Almaty Theatre,,Театры,"проспект Аль-Фараби, 30",,050059,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 18:00-22:00; Вт: 18:00-22:00; Ср: 18:00-22:00; Чт: 18:00-22:00; Пт: 18:00-22:00; Сб: 18:00-22:00; Вс: 18:00-22:00,+05:00,4.0,191,,,,http://almatytheatre.kz,https://instagram.com/almaty.theatre,,,,,,,,43.22677,76.946823,https://2gis.com/firm/70000001061397876,branch
Театр драмы им. М. Лермонтова,,Театры; Интересные здания,"проспект Абая, 43",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.5,387,87272673135 (касса),87272673136 (касса),,http://www.tl.kz,https://instagram.com/lermontov.theatre,,https://facebook.com/lermontov.theatre,https://vk.com/lermontov.theatre,,,,,43.243288,76.944064,https://2gis.com/firm/9429940000794586,branch
Алатау,театр традиционного искусства,Театры,"микрорайон Нуркент, 6",,050038,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,3.5,132,87273988536 (приемная),87273986244 (касса),87759924033 (отдел развития),http://alatau.asia,,,,,,,,,43.25985,76.81914,https://2gis.com/firm/70000001024386777,branch
Жас Сахна,театр,Театры,"проспект Абая, 117",цокольный этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,"Вт: 11:00-15:00, 16:00-19:00; Ср: 11:00-15:00, 16:00-19:00; Чт: 11:00-15:00, 16:00-19:00; Пт: 11:00-15:00, 16:00-19:00; Сб: 11:00-15:00, 16:00-19:00; Вс: 11:00-15:00, 16:00-19:00",+05:00,4.5,92,87272596598,87767117878,,http://www.zhassahna.kz,https://instagram.com/zhassahna_theatre,,https://facebook.com/zhassahna_theatre,,https://wa.me/77767117878,,,,43.23977,76.901425,https://2gis.com/firm/9429940001330101,branch
Государственный Республиканский корейский театр музыкальной комедии,,Театры,"Богенбай батыра улица, 158",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,4.8,40,87272921663 (приемная),87272921673 (отдел бухгалтерии),,http://www.koreantheatre.com,https://instagram.com/korean_theatre,,https://facebook.com/koreantheatre,,,,,,43.251713,76.93155,https://2gis.com/firm/9429940000896728,branch
Театр для детей и юношества им. Н. Сац,,Театры,"улица Шаляпина, 22",,050035,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.0,208,,,,http://sats.kz,https://instagram.com/satstheatre_almaty,,https://facebook.com/satstheatre.org.kz,,,,,,43.22171,76.867892,https://2gis.com/firm/9429940000794585,branch
