id,krisha_id,krisha_uuid,categories,area,url,price,address,short_description,tags,published,parse_datetime,city,district,microdistrict,street,house_number,corpus_number,longitude,latitude
2,667124458,,2-комнатная квартира,69.6 м²,https://krisha.kz/a/show/667124458,от 89600000 〒,"Алматы, Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2","жил. комплекс Koktobe city, 5 этажей, 2023 г.п., потолки 3м., санузел 2 с/у и более, Расположение:","Ипотека, 0% Рассрочка",30 июня,2024-07-01 10:58:03.000000,Алматы,Медеуский р-н,мкр Коктобе,Сагадат Нурмагамбетова,138.0,2,,
3,674021807,,3-комнатная квартира,103.18 м²,https://krisha.kz/a/show/674021807,от 140600000 〒,"Алматы, Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2","жил. комплекс Koktobe city, 5 этажей, 2023 г.п., потолки 3м., санузел 2 с/у и более, Расположение:","Ипотека, 0% Рассрочка",30 июня,2024-07-01 10:58:03.000000,Алматы,Медеуский р-н,мкр Коктобе,Сагадат Нурмагамбетова,138.0,2,,
4,671264251,,2-комнатная квартира,74.1 м²,https://krisha.kz/a/show/671264251,от 78916500 〒,"Алматы, Бостандыкский р-н, Аль-Фараби — Сейфуллина","жил. комплекс AL’FARABI 27, 21 этаж, 2024 г.п., потолки 3м., санузел 2 с/у и более, Жилой комплекс AL’FARABI 27 – выражение городской динамики и амбиций, ярких событий и насыщенной жизни! Эт…","Ипотека, 0% Рассрочка",1 июля,2024-07-01 10:58:03.000000,Алматы,Бостандыкский р-н,,Аль-Фараби — Сейфуллина,,,76.9726854083708,43.2806297213495
5,688394389,,2-комнатная квартира,72 м²,https://krisha.kz/a/show/688394389,от 79200000 〒,"Алматы, Минина","жил. комплекс Boulevard Residence, 12 этажей, 2024 г.п., потолки 3м., санузел 2 с/у и более, Преимущества:",,30 июня,2024-07-01 10:58:03.000000,Алматы,,,Минина,,,76.9247461543507,43.2352517317089
6,672075685,,1-комнатная квартира,38.8 м²,https://krisha.kz/a/show/672075685,от 42680000 〒,"Алматы, Алмалинский р-н, Манаса 109а","жил. комплекс LEGENDA, 16 этажей, 2025 г.п., потолки 3м., санузел совмещенный, Особенный квартал LEGENDA расположен по проспекту Абая между улицами Манаса…","Ипотека, 0% Рассрочка",1 июля,2024-07-01 10:58:03.000000,Алматы,Алмалинский р-н,,Манаса,109.0,а,76.9070923307877,43.2422647307316
7,692365933,,2-комнатная квартира,83.24 м²,https://krisha.kz/a/show/692365933,от 66592000 〒,"Алматы, Бостандыкский р-н, Абая 118","жил. комплекс Centrium, 9 этажей, 2024 г.п., потолки 3м., санузел раздельный, Centrium - представляет собой жилой квартал бизнес-клас…",Ипотека,1 июля,2024-07-01 10:58:03.000000,Алматы,Бостандыкский р-н,,Абая,118.0,,76.8797413831541,43.1661489932133
8,689365700,,4-комнатная квартира,139.6 м²,https://krisha.kz/a/show/689365700,от 86552000 〒,"Алматы, Алмалинский р-н, Ауэзова — Гоголя","жил. комплекс Rams EVO, 15 этажей, 2025 г.п., потолки 3м., санузел 2 с/у и более, 🔥Продажа квартир уже активно идут в офисе Ra…","Ипотека, 0% Рассрочка",30 июня,2024-07-01 10:58:03.000000,Алматы,Алмалинский р-н,,Ауэзова — Гоголя,,,76.8854571891621,43.3275249838754
9,687285730,,2-комнатная квартира,79 м²,https://krisha.kz/a/show/687285730,от 86900000 〒,"Алматы, Бостандыкский р-н, Аль-Фараби 116/1","жил. комплекс Aspen, 3 этажа, 2024 г.п., потолки 3.3м., санузел 2 с/у и более, Жилой комплекс Aspen представляет собой элитную застройку из малоэтажных домо…","Ипотека, 0% Рассрочка",30 июня,2024-07-01 10:58:03.000000,Алматы,Бостандыкский р-н,,Аль-Фараби,116.0,1,76.9726854083708,43.2806297213495
10,671314140,,3-комнатная квартира,104.84 м²,https://krisha.kz/a/show/671314140,от 132600000 〒,"Алматы, Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2","жил. комплекс Koktobe city, 5 этажей, 2023 г.п., потолки 3м., санузел 2 с/у и более, Расположение:","Ипотека, 0% Рассрочка",1 июля,2024-07-01 10:58:03.000000,Алматы,Медеуский р-н,мкр Коктобе,Сагадат Нурмагамбетова,138.0,2,,
11,51613650,,1-комнатная квартира,46.4 м²,https://krisha.kz/a/show/51613650,от 60500000 〒,"Алматы, Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2","жил. комплекс Koktobe city, 5 этажей, 2023 г.п., потолки 3м., санузел совмещенный, Условия покупки.","Ипотека, 0% Рассрочка",1 июля,2024-07-01 10:58:03.000000,Алматы,Медеуский р-н,мкр Коктобе,Сагадат Нурмагамбетова,138.0,2,,
12,678891420,,3-комнатная квартира,115 м²,https://krisha.kz/a/show/678891420,от 95450000 〒,"Алматы, Бостандыкский р-н, Жарокова 370","жил. комплекс Aqtolqyn Grand, 12 этажей, 2024 г.п., потолки 3м., санузел 2 с/у и более, Преимущества:",Ипотека,30 июня,2024-07-01 10:58:03.000000,Алматы,Бостандыкский р-н,,Жарокова,370.0,,76.8983694424497,43.2496058502876
13,683974495,,2-комнатная квартира,52.83 м²,https://krisha.kz/a/show/683974495,от 47018700 〒,"Алматы, Алмалинский р-н, А.Шарипова 100","жил. комплекс Palladium, 9 этажей, 2024 г.п., потолки 3м., санузел совмещенный, Преимущества:",0% Рассрочка,1 июля,2024-07-01 10:58:03.000000,Алматы,Алмалинский р-н,,А.Шарипова,100.0,,,
14,682828220,,2-комнатная квартира,76 м²,https://krisha.kz/a/show/682828220,от 46360000 〒,"Алматы, Наурызбайский р-н, мкр Таусамалы, Жандосова 70а","жил. комплекс Kamenka Park, 3 этажа, 2023 г.п., потолки 3м., санузел совмещенный, Современное название не собьет алматинцев с толку: Таусамалы – это всё та же зеленая Верхняя Каменк…",0% Рассрочка,1 июля,2024-07-01 10:58:03.000000,Алматы,Наурызбайский р-н,мкр Таусамалы,Жандосова,70.0,а,76.9063516573398,43.2347596563076
15,680742049,,3-комнатная квартира,114.8 м²,https://krisha.kz/a/show/680742049,от 126854000 〒,"Алматы, Медеуский р-н, Сагадат Нурмагамбетова 28","жил. комплекс Meliora, 7 этажей, 2024 г.п., потолки 3.3м., санузел 2 с/у и более, Hayat Meliora — исключительный проект, объединяющий все необходимое для принципиально нового уровня жизни. Модный…",0% Рассрочка,1 июля,2024-07-01 10:58:03.000000,Алматы,Медеуский р-н,,Сагадат Нурмагамбетова,28.0,,,
